"ID"	"Latitude"	"Longitude"
107	"42.87472"	"-2.376111"
109	"43.08333"	"-3.063056"
211	"38.96424"	"-1.445101"
506	"43.46145"	"-5.059171"
509	"43.23576"	"-5.55625"
528	"43.433333"	"-6.05"
588	"43.3124904"	"-6.5872813"
609	"41.08944"	"-4.998767"
726	"38.68164"	"-7.101516"
922	"42.66822"	"-4.083444"
1020	"39.71327"	"-6.283558"
1205	"42.80722"	"-3.939167"
1212	"43.06046"	"-4.665703"
1219	"43.37978"	"-3.586886"
1228	"43.15285"	"-4.042275"
1232	"43.15893"	"-3.782012"
1404	"39.12871"	"-3.088472"
1514	"37.567497"	"-4.846638"
1607	"39.76665"	"-1.692981"
1834	"36.8859264"	"-3.3944718"
1907	"40.84282"	"-1.882801"
2005	"43.10372"	"-2.034254"
2122	"37.8339"	"-6.338874"
2229	"41.97267"	"-0.2976621"
2301	"37.93648"	"-4.054891"
2401	"42.6847629"	"-9.0509997"
2402	"42.8802049"	"-8.5447697"
2403	"43.098522"	"-8.9148237"
2506	"42.4291"	"-2.694138"
2606	"42.62492"	"-5.227446"
2614	"42.71033"	"-5.639072"
2627	"42.75084"	"-5.411633"
2637	"42.61791"	"-6.520012"
2644	"42.41059"	"-6.304451"
2801	"43.1816022"	"-7.8899159"
2803	"43.1105916"	"-7.3486054"
2907	"40.24954"	"-3.827206"
3222	"42.48354"	"-1.82951"
3301	"42.317287"	"-8.0174621"
3302	"41.9726876"	"-7.0087121"
3303	"42.3918868"	"-7.8806095"
3414	"42.72211"	"-4.42506"
3423	"42.5064"	"-4.799212"
3426	"41.87996"	"-4.362146"
3614	"40.62649"	"-6.18216"
3712	"41.15517"	"-4.573022"
3806	"37.873641"	"-6.080495"
3901	"41.85081"	"-2.337914"
4102	"40.37181"	"-0.7197202"
4206	"39.8748"	"-5.255383"
4310	"38.980228"	"-0.689195"
4421	"42.17392"	"-5.19063"
4504	"43.31871"	"-2.725344"
4617	"41.86884"	"-6.378888"
4719	"41.8306"	"-0.7690734"
310	"38.521111"	"-0.911667"
404	"37.25"	"-2.45"
1023	"39.19566"	"-5.770979"
1107	"36.872213"	"-5.804288"
1116	"36.358333"	"-5.867778"
1307	"39.911738"	"-0.571874"
1414	"39.17159"	"-3.854879"
3107	"38.5371202"	"-1.2834476"
3916	"41.31117"	"-2.980882"
4706	"41.27913"	"-0.7920387"
3001	"37.018365"	"-4.559665"
