ID;Latitude;Longitude
103;42.84956;-2.544762
109;43.08333;-3.063056
107;42.87472;-2.376111
106;42.56607;-2.633635
211;38.96424;-1.445101
204;39.04573;-2.200169
214;38.5429;-1.952878
222;38.70169;-2.603873
310;38.521111;-0.911667
404;37.25;-2.45
509;43.23576;-5.55625
506;43.46145;-5.059171
588;43.3124904;-6.5872813
528;43.433333;-6.05
614;40.54162;-4.991971
607;40.35711;-5.523521
604;40.41368;-4.786215
609;41.08944;-4.998767
726;38.68164;-7.101516
716;38.92122;-6.475953
728;38.265;-6.474613
723;39.03048;-5.497543
924;41.74088;-3.875266
922;42.66822;-4.083444
939;43.07687;-3.552301
959;42.1601;-4.050792
934;42.7349;-2.74691
1014;40.06754;-6.657399
1023;39.19566;-5.770979
1020;39.71327;-6.283558
1012;40.12643;-5.658391
1015;39.88757;-5.560554
1116;36.358333;-5.867778
1107;36.872213;-5.804288
1228;43.15285;-4.042275
1212;43.06046;-4.665703
1232;43.15893;-3.782012
1219;43.37978;-3.586886
1205;42.80722;-3.939167
1307;39.911738;-0.571874
1401;38.73823;-3.839462
1404;39.12871;-3.088472
1417;39.14607;-4.153421
1414;39.17159;-3.854879
1514;37.567497;-4.846638
1603;39.55941;-2.70837
1636;40.3999;-2.31839
1607;39.76665;-1.692981
1634;39.78652;-2.154847
1834;36.8859264;-3.3944718
1907;40.84282;-1.882801
1901;41.0696;-2.642236
1921;40.35676;-2.965323
1902;40.81306;-2.492624
2005;43.10372;-2.034254
2004;43.04969;-2.279856
2001;43.18418;-2.,473289
2122;37.8339;-6.338874
2229;41.97267;-0.2976621
2206;42.41556;0.1469093
2222;42.62798;-0.3246984
2207;42.16131;-0.324034
2321;38.02818;-3.101844
2301;37.93648;-4.054891
2303;37.70535;-3.286108
2314;38.34861;-2.737147
2401;42.6847629;-9.0509997
2403;43.098522;-8.9148237
2402;42.8802049;-8.5447697
2512;42.26964;-2.61939
2515;42.5884;-2.961486
2506;42.4291;-2.694138
2501;42.34546;-2.169606
2627;42.75084;-5.411633
2637;42.61791;-6.520012
2614;42.71033;-5.639072
2606;42.62492;-5.227446
2644;42.41059;-6.304451
2803;43.1105916;-7.3486054
2801;43.1816022;-7.8899159
2910;40.29548;-3.303884
2914;40.92643;-3.617723
2915;40.72705;-3.864914
2907;40.24954;-3.827206
3001;37.018365;-4.559665
3107;38.5371202;-1.2834476
3214;43.07879;-1.914608
3228;42.35847;-1.548073
3209;42.7942;-1.791637
3222;42.48354;-1.82951
3203;42.71667;-2
3303;42.3918868;-7.8806095
3301;42.317287;-8.0174621
3302;41.9726876;-7.0087121
3412;42.7889;-4.846615
3402;42.19241;-4.294691
3426;41.87996;-4.362146
3414;42.72211;-4.42506
3423;42.5064;-4.799212
3611;41.00555;-6.364386
3601;40.74753;-5.288013
3610;41.09387;-5.602361
3614;40.62649;-6.18216
3707;41.17223;-3.95271
3701;40.99408;-4.308839
3706;41.41504;-4.161081
3712;41.15517;-4.573022
3806;37.873641;-6.080495
3923;41.28933;-2.26941
3916;41.31117;-2.980882
3924;41.71635;-1.810971
3901;41.85081;-2.337914
4102;40.37181;-0.7197202
4117;40.86362;-1.323613
4108;40.50909;-1.589083
4128;40.63414;-1.003348
4218;39.72627;-4.639593
4227;39.69444;-4.152859
4230;39.69833;-3.503289
4206;39.8748;-5.255383
4214;39.65143;-4.990208
4301;40.131;-1.303953
4310;38.980228;-0.689195
4419;41.23012;-4.972027
4401;41.47901;-4.588226
4403;41.57777;-5.240637
4417;41.53273;-4.060755
4407;41.75821;-4.699579
4421;42.17392;-5.19063
4506;43.17989;-3.071129
4503;43.18664;-2.502607
4504;43.31871;-2.725344
4508;43.36551;-2.503344
4501;43.29609;-2.563355
4613;41.25259;-5.574922
4611;41.74326;-5.64151
4617;41.86884;-6.378888
4602;41.81778;-5.290119
4714;41.55116;-1.537185
4706;41.27913;-0.7920387
4720;42.51891;-1.129118
4719;41.8306;-0.7690734
304;38.481389;-0.420278
425;36.984291;-2.598534
1102;36.655601;-5.657378
1308;40.137273;-0.280816
1503;37.516667;-4.65
1838;37.246667;-4.151667
3002;37.183129;-4.449969
3814;37.87757;-5.62185
3109;37.743133;-0.953902
