Muestreo	Area_dialecta	COSERID	EjemploID	Ejemplo	Tipo	Pron_reflexivo	Verbo	Sdo_tipic_refl	Tipo_semantico	Tipo_sintactico	Compl_direccion	Anim_CD	Aspectualidades	Tipo_dativo	Presencia_del_dativo	Persona_verbal	Animacion_sujeto
No exhaustivo2017	Resto	425	425019	I1: eEl grande na más, no. Y mi | es mu esclavo eso y mu sucio y muy expuesto, más de lo que se cree la... Los, los dedos mira, cicatrices, [G-Mst] ¿las ves? mira, este corte [G-Mst] 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	más		NA	3sg	Humano
No exhaustivo	Resto	103	103141	E: ¿Reza? I: ¡Hombre, no! ¿Qué te crees? Que hay que guardar las costumbres de antes.	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
No exhaustivo	Resto	106	106279	Fíjate, mira, ahí tengo una botella que me dio el otro día al mío. ¿Cuánto te crees que vale esta botella? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107184	el padrino creo que entraría también, y el monaguillo, yo me acuerdo poco de aquello, porque ya... luego quitaron eso.	Verbo se	No	creer		Cognición	Transitivo	NA	NA	Claus		NA	1sg	Humano
Exhaustivo	Resto	107	107192	qué va, si, te crees como ahora veinte platos o qué, sí...	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107254	[chicos que quedan con 2 chicas] ¿Y ahora te crees que no hay o qué?	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107255	"¿Y ahora te crees que no te llevan con el coche tal y cual? ""Bueno, que tengo que madrugar"" y se marcha a otro lao, (ande=a donde) otra, y otra (ande=a donde) otro, ¿te crees que no hay o qué?, "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107256	"¿Y ahora te crees que no te llevan con el coche tal y cual? ""Bueno, que tengo que madrugar"" y se marcha a otro lao, (ande=a donde) otra, y otra (ande=a donde) otro, ¿te crees que no hay o qué?, "	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107259	Sí, sí, y ahora pasa, ¿no te crees que pasa o qué?, ¿eh? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	Claus		NA	2sg	Humano
Exhaustivo	Resto	107	107267	Y antes era esto pa ocho, un cachico así cada uno. ¿Eh? ¿Qué te crees como ahora o qué?, ¿eh? 	Verbo se	Sí	creer		Cognición	Transitivo	NA	NA	qué		NA	2sg	Humano
