Muestreo;Area_dialecta;COSERID;EjemploID;Tipo;Pron_reflexivo;Verbo;Tipo_semantico;Tipo_sintactico;Aspectualidades;Persona_verbal;Animacion_sujeto;Tiempo_verbal;Complemento_temporal;Exageracion_esfuerzo_extra;Otro_complemento;Tipo_complemento;Posicion_respevbo_complemento;Posicion_respverbo_temporal;Posicion_respotros_temporal;Foco
No_exhaustivo;Resto;103;103054;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;infinitivo;una_semana;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;103;103105;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;NA;Humano;infinitivo;el_rato;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;204;204361;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;unos_ratos;;si;locativo;pospuesto;pospuesto;pospuesto;tiempo
No_exhaustivo;Resto;214;214166;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;infinitivo;los_dias_esos;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;214;214167;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;presente;unos_dias;;si;locativo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;404;404112;Verbo_se;Si;pasar;NA;Transitivo_tiempo;Pronombre;3pl;Humano;presente;las_vacaciones;;si;locativo;pospuesto;antepuesto;;otro
No_exhaustivo;Resto;604;604237;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;infinitivo;el_domingo;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;716;716197;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;infinitivo;la_noche;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;716;716198;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;presente;la_noche;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;716;716240;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;un_rato;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;728;728460;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;las_tardes;;si;modo;antepuesto;pospuesto;;tiempo
No_exhaustivo;Resto;728;728595;Verbo_se;No;pasar;NA;Transitivo_tiempo;Pronombre;1pl;Humano;pasado_perfecto;los_demas_dias;;si;locativo;pospuesto;antepuesto;;otro
No_exhaustivo;Resto;934;934484;Verbo_se;Si;pasar;NA;Transitivo_tiempo;Desnudo;1pl;Humano;infinitivo;noches;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;939;939254;Verbo_se;Si;pasar;NA;Transitivo_tiempo;Desnudo;1sg;Humano;pasado_imperfecto;minutos;;no;;;pospuesto;;tiempo
No_exhaustivo;Resto;1012;1012339;Verbo_se;No;pasar;NA;Transitivo_tiempo;Pronombre;1sg;Humano;infinitivo;unos_dias;;si;comitativo;pospuesto;antepuesto;;otro
No_exhaustivo;Resto;1012;1012357;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;NA;Humano;infinitivo;el_rato;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;1015;1015145;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;todo_el_dia;;si;modo;antepuesto;pospuesto;;tiempo
No_exhaustivo;Resto;1015;1015146;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;1sg;Humano;pasado_imperfecto;todo_el_verano;;si;locativo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;1015;1015497;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3sg;Humano;infinitivo;el_sabado_y_el_domingo;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;1107;1107574;Verbo_se;No;pasar;NA;Transitivo_tiempo;Pronombre;1sg;Humano;infinitivo;el_domingo;;si;locativo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;1205;1205425;Verbo_se;No;pasar;NA;Transitivo_tiempo;Pronombre;2pl;Humano;pluscuamperfecto;un_dia_entero;;si;locativo;pospuesto;antepuesto;;otro
Exhaustivo;Resto;1228;1228134;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_imperfecto;el_rato;;si;modo;antepuesto;pospuesto;;tiempo
Exhaustivo;Resto;1404;1404310;Verbo_se;Si;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;infinitivo;el_invierno;;si;locativo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;1404;1404403;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;2sg;Humano;pasado_imperfecto;toda_la_semana;;si;modo;pospuesto;pospuesto;antepuesto;otro
Exhaustivo;Resto;1414;1414471;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;pasado_perfecto;tres_annos;;no;;;pospuesto;;tiempo
Exhaustivo;Resto;1514;1514010;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;presente;el_rato;;si;modo;pospuesto;pospuesto;antepuesto;otro
No_exhaustivo;Resto;1603;1603142;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;3pl;Humano;infinitivo;el_verano;;si;modo;pospuesto;pospuesto;pospuesto;tiempo
Exhaustivo;Resto;1607;1607752;Verbo_se;No;pasar;NA;Transitivo_tiempo;SD;1pl;Humano;presente;el_dia;;si;modo;pospuesto;pospuesto;antepuesto;otro
