"ID"	"Village"	"Province"	"Latitude"	"Longitude"
"QT001"	"Antequera"	"Malaga"	"37.01938"	"-4.562885"
"QT002"	"Las Pinedas (La Carlota)"	"Cordoba"	"37.67361"	"-4.932553"
"QT003"	"Zumaia"	"Guipuzcoa"	"43.29726"	"-2.256849"
"QT004"	"San Sebastian"	"Guipuzcoa"	"43.32074"	"-1.984421"
"QT006"	"Vega de Pas (Candolias)"	"Cantabria"	"43.15893"	"-3.782012"
"QT007"	"La Revilla (San Vicente de la Barquera)"	"Cantabria"	"43.38593"	"-4.398091"
"QT008"	"Vibanno (Llanes)"	"Asturias"	"43.41953"	"-4.750914"
"QT009"	"La Borbolla"	"Asturias"	"43.366667"	"-4.633333"
"QT010"	"Folgueiras de Boiro (Ibias de San Antolin)"	"Asturias"	"43.03333"	"-6.866667"
"QT011"	"El Condado (Laviana)"	"Asturias"	"43.23576"	"-5.55625"
"QT012"	"Santa Olalla del Cala"	"Huelva"	"37.90651"	"-6.229617"
"QT013"	"Bonares"	"Huelva"	"37.3219"	"-6.680697"
"QT014"	"Navahermosa"	"Toledo"	"39.63567"	"-4.469614"
"QT015"	"Jimena de la Frontera"	"Cadiz"	"36.43404"	"-5.453479"
"QT016"	"Albires (Izagre)"	"Leon"	"42.22424"	"-5.257293"
"QT017"	"Turcia"	"Leon"	"42.53492"	"-5.876189"
"QT018"	"Quintanilla de Rueda(Cubillas de Rueda)"	"Leon"	"42.65549"	"-5.174273"
"QT019"	"Cadavos (A Mezquita)"	"Orense"	"42.00964"	"-7.04605"
"QT020"	"Astariz (Castrelo de Minno)"	"Orense"	"42.28333"	"-8.116667"
"QT021"	"Laxoso (Ponte Caldelas)"	"Pontevedra"	"42.38924"	"-8.503109"
"QT022"	"Santiago"	"La Corunna"	"42.88045"	"-8.546304"
"QT023"	"Naron"	"La Corunna"	"43.53705"	"-8.180766"
"QT024"	"O Corgo"	"Lugo"	"42.93829"	"-7.415542"
"QT025"	"Teixeira (Paradavella;A Fonsagrada)"	"Lugo"	"43.1105916"	"-7.3486054"
"QT026"	"Villanueva de Omanna (Murias de Paredes)"	"Leon"	"42.84893"	"-6.191136"
"QT027"	"Gumiel de Mercado"	"Burgos"	"41.75608"	"-3.802108"
"QT028"	"Suances"	"Cantabria"	"43.42658"	"-4.041966"
"QT030"	"Labastida"	"Alava"	"42.59042"	"-2.793166"
"QT032"	"Epila"	"Zaragoza"	"41.60128"	"-1.2846"
"QT033"	"San Esteban de Gormaz"	"Soria"	"41.57364"	"-3.205283"
"QT034"	"Revenga (Segovia)"	"Segovia"	"40.94943"	"-4.119209"
"QT036"	"Peleas de Arriba (Corrales)"	"Zamora"	"41.35688"	"-5.728258"
"QT037"	"Horcajo Medianero"	"Salamanca"	"40.64017"	"-5.406429"
"QT038"	"Navalmoral (de la Sierra)"	"Avila"	"40.45965"	"-4.7686"
"QT039"	"Velez-Blanco"	"Almeria"	"37.69095"	"-2.095682"
"QT040"	"Ventorros de San Jose (Loja)"	"Granada"	"37.16884"	"-4.151471"
"QT041"	"Alcolea del Pinar"	"Guadalajara"	"41.03577"	"-2.467304"
"QT042"	"Quesa"	"Valencia"	"39.1196"	"-0.7405544"
"QT043"	"Pinoso"	"Alicante"	"38.40112"	"-1.041577"
"QT044"	"Arlos/Rodiles (Corvera)"	"Asturias"	"43.51012"	"-5.869227"
"QT045"	"Colinas de Abajo (Tineo)"	"Asturias"	"43.33509"	"-6.414816"
"QT046"	"Chanuces/Llanuces (Quiros)"	"Asturias"	"43.15"	"-5.966667"
"QT047"	"Santaella"	"Cordoba"	"37.567497"	"-4.846638"
