"Muestreo";"Area_dialectal";"COSERID";"EjemploID";"Tipo";"Pron_reflexivo";"Verbo";"Clase_aspectual";"Tipo_semantico";"Tipo_sintactico";"Aspectualidades";"Presencia_del_dativo";"Tipo_dativo";"Persona_verbal";"Animacion_sujeto";"Tipo_perifrasis";"Perifrasis";"Tiempo_verbal"
"No_exhaustivo";"Resto";3706;3706013;"Verbo_se";"No";"cuajar";"Durativo";"Espontaneo";"Anticausativo";"NA";"No";"NA";"3sg";"Inanimado";"Atelica";"dejar_que_+_subj";"condicional"
"Exhaustivo";"Resto";1232;1232020;"Verbo_se";"No";"asalar";"Durativo";"Espontaneo";"Anticausativo";"No_EF_(lim_temporal)";"No";"NA";"3pl";"Inanimado";"Atelica";"tener_+_gerundio";"gerundio"
"Exhaustivo";"Resto";922;922047;"Verbo_se";"No";"cocer";"Durativo";"Espontaneo";"Anticausativo";"NA";"No";"NA";"3pl";"Inanimado";"Atelica";"tener_+_gerundio";"gerundio"
"No_exhaustivo";"Resto";3706;3706240;"Verbo_se";"No";"cocer";"Durativo";"Espontaneo";"Anticausativo";"NA";"No";"NA";"3sg";"Inanimado";"Atelica";"tener_+_gerundio";"gerundio"
"No_exhaustivo";"Resto";4214;4214276;"Verbo_se";"No";"cocer";"Durativo";"Espontaneo";"Anticausativo";"NA";"No";"NA";"3sg";"Inanimado";"Atelica";"tener_+_gerundio";"gerundio"
"Exhaustivo";"Resto";2606;2606405;"Verbo_se";"No";"curar";"Durativo";"Espontaneo";"Anticausativo";"NA";"No";"NA";"3sg";"Inanimado";"Atelica";"tener_+_gerundio";"gerundio"
"Exhaustivo";"Resto";2614;2614033;"Verbo_se";"No";"curar";"Durativo";"Espontaneo";"Anticausativo";"NA";"No";"NA";"3pl";"Inanimado";"Atelica";"tener_+_gerundio";"gerundio"
"No_exhaustivo";"Resto";4501;4501378;"Verbo_se";"No";"quemar";"Durativo";"Espontaneo";"Anticausativo";"NA";"No";"NA";"3sg";"Inanimado";"Atelica";"tener_+_gerundio";"gerundio"
"Exhaustivo";"Noroeste";509;509195;"Verbo_se";"No";"secar";"Durativo";"Espontaneo";"Anticausativo";"No_EF";"No";"NA";"3sg";"Inanimado";"Atelica";"tener_+_gerundio";"gerundio"
"Exhaustivo";"Noroeste";588;588009;"Verbo_se";"No";"adobar";"Durativo";"Espontaneo";"Anticausativo";"No_EF";"No";"NA";"3sg";"Inanimado";"Atelica";"dejar_+_inf";"infinitivo"
