Muestreo;Area_dialecta;COSERID;EjemploID;Tipo;Pron_reflexivo;Verbo;Tipo_semantico;Tipo_sintactico;Heavy_form;Persona_verbal;Animacion_sujeto;Tiempo_verbal
No_exhaustivo;Resto;959;959398;Verbo_se;Si;abrazar;Reciproco;Discontinuo;a;3sg;Humano;presente
Exhaustivo;Resto;1414;1414418;Verbo_se;Si;abrazar;Reciproco;Discontinuo;a;3sg;Humano;pasado_imperfecto
Exhaustivo;Resto;1414;1414419;Verbo_se;Si;abrazar;Reciproco;Directo;NA;1pl;Humano;pasado_imperfecto
Exhaustivo;Resto;1307;13071003;Verbo_se;Si;abrazar;Reciproco;Directo;NA;3pl;Humano;pasado_perfecto
Exhaustivo;Resto;1307;13071282;Verbo_se;Si;abrazar;Reciproco;Discontinuo;a;3sg;Humano;pasado_perfecto
No_exhaustivo;Resto;614;614208;Verbo_se;Si;acoplar;Reciproco_natural;Anticausativo;NA;3pl;Humano;pasado_perfecto
No_exhaustivo;Resto;222;222535;Verbo_se;Si;acordar;Reciproco_natural;Directo;NA;3pl;Humano;pasado_imperfecto
No_exhaustivo;Resto;204;204173;Verbo_se;Si;acostar;Reciproco_natural;Anticausativo_discontinuo;con;3sg;Humano;pasado_perfecto
No_exhaustivo;Resto;222;222082;Verbo_se;Si;acostar;Reciproco_natural;Anticausativo;NA;3pl;Humano;presente
No_exhaustivo;Resto;222;222092;Verbo_se;Si;acostar;Reciproco_natural;Anticausativo;NA;3pl;Humano;presente
No_exhaustivo;Resto;222;222093;Verbo_se;Si;acostar;Reciproco_natural;Anticausativo;NA;3pl;Humano;presente
No_exhaustivo;Resto;4714;4714055;Verbo_se;Si;agarrar;Reciproco;Discontinuo;con;3pl;Humano;infinitivo
Exhaustivo;Resto;2637;2637352;Verbo_se;Si;aguantar;Reciproco;Directo;unos_a_otros;3pl;Humano;pasado_imperfecto
Exhaustivo;Resto;1834;1834013;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;3sg;Humano;pasado_imperfecto
Exhaustivo;Resto;2229;2229480;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo_discontinuo;con;3sg;Humano;pasado_perfecto
No_exhaustivo;Resto;2314;2314323;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo_discontinuo;con;1sg;Humano;pasado_imperfecto
Exhaustivo;Resto;310;3100921;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;3pl;Humano;presente
Exhaustivo;Resto;310;3101055;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;3pl;Inanimado;presente
Exhaustivo;Resto;310;3101060;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;3pl;Inanimado;presente
Exhaustivo;Resto;3712;3712401;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;3pl;Humano;presente
Exhaustivo;Resto;4310;43100002;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;1pl;Humano;presente
Exhaustivo;Resto;4310;43100004;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;1pl;Humano;presente
Exhaustivo;Resto;4310;43100107;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;3pl;Humano;pasado_imperfecto
Exhaustivo;Resto;4310;43100166;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;3pl;Humano;pasado_imperfecto
Exhaustivo;Resto;4310;43100261;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo_discontinuo;con;1pl;Humano;pasado_perfecto
Exhaustivo;Resto;4310;43100303;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;1pl;Humano;presente
Exhaustivo;Resto;4310;43100635;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;3pl;Humano;presente
Exhaustivo;Resto;4310;43100659;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;3pl;Humano;presente
Exhaustivo;Resto;4310;43100716;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;1pl;Humano;presente
Exhaustivo;Resto;4310;43100717;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;1pl;Humano;presente
Exhaustivo;Resto;4310;43100718;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;1pl;Humano;presente
Exhaustivo;Resto;4310;43100723;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;3pl;Humano;pasado_imperfecto
Exhaustivo;Resto;4310;43100725;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;2sg;Humano;infinitivo
Exhaustivo;Resto;4310;43100726;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;2sg;Humano;pasado_imperfecto
Exhaustivo;Resto;4310;43100745;Verbo_se;Si;ajuntar;Reciproco_natural;Anticausativo;NA;1pl;Humano;pasado_perfecto
No_exhaustivo;Resto;103;103063;Verbo_se;Si;apartar;Reciproco_natural;Anticausativo;NA;3pl;Humano;presente
No_exhaustivo;Resto;723;723615;Verbo_se;Si;apartar;Reciproco_natural;Anticausativo_discontinuo;de;3sg;Inanimado;presente
Exhaustivo;Resto;1514;1514426;Verbo_se;Si;apartar;Reciproco_natural;Anticausativo_discontinuo;NA;1sg;Humano;presente
Exhaustivo;Resto;1514;1514427;Verbo_se;Si;apartar;Reciproco_natural;Anticausativo;NA;NA;Humano;infinitivo
Exhaustivo;Resto;1514;1514434;Verbo_se;Si;apartar;Reciproco_natural;Anticausativo_discontinuo;NA;1sg;Humano;presente
Exhaustivo;Resto;310;3101056;Verbo_se;Si;apartar;Reciproco_natural;Anticausativo;NA;3pl;Inanimado;pasado_imperfecto
No_exhaustivo;Resto;3923;3923021;Verbo_se;Si;apartar;Reciproco_natural;Anticausativo;NA;3sg;Inanimado;pasado_subjuntivo
No_exhaustivo;Resto;3923;3923022;Verbo_se;Si;apartar;Reciproco_natural;Anticausativo;NA;3sg;Inanimado;pasado_subjuntivo
