Muestreo;Area_dialectal;COSERID;EjemploID;Tipo;Pron_reflexivo;Verbo;Tipo_semantico;Poseido;Paciente_definitud;Tipo_sintactico;Persona_verbal;Animacion_sujeto;Tiempo_verbal
No_exhaustivo;Resto;1015;1015673;Verbo_se;Si;abrir;Prenda;OD;NA;Indirecto;3pl;Humano;pasado_imperfecto
No_exhaustivo;Resto;4214;4214144;Verbo_se;Si;abrir;Involuntario;OD;NA;Indirecto;3sg;Humano;pasado_perfecto
No_exhaustivo;Resto;4214;4214145;Verbo_se;Si;abrir;Involuntario;OD;NA;Indirecto;3sg;Humano;pasado_perfecto
No_exhaustivo;Resto;4501;4501270;Verbo_se;Si;abrir;Involuntario;OD;NA;Indirecto;3sg;Humano;pasado_perfecto
No_exhaustivo;Resto;204;204452;Verbo_se;Si;abrochar;Prenda;OD;NA;Indirecto;3sg;Humano;presente
Exhaustivo;Resto;4706;4706260;Verbo_se;Si;administrar;Autobenefactivo;NA;Pronombre;Indirecto;1sg;Humano;pasado_imperfecto
Exhaustivo;Resto;4706;4706266;Verbo_se;No;administrar;Autobenefactivo;NA;NA;Indirecto;1sg;Humano;pasado_imperfecto
No_exhaustivo;Resto;4230;4230304;Verbo_se;Si;alcanzar;Movimiento;Locativo;NA;Indirecto;1sg;Humano;presente
Exhaustivo;Resto;3806;3806179;Verbo_se;Si;apartar;Autobenefactivo;NA;SD;Indirecto;3sg;Humano;presente
No_exhaustivo;Resto;2004;2004231;Verbo_se;Si;armar;Cognicion;OD;NA;Indirecto;1pl;Humano;pasado_perfecto
Exhaustivo;Resto;4310;43100778;Verbo_se;Si;arreglar;Autobenefactivo;NA;Pronombre;Indirecto;3sg;Humano;presente
Exhaustivo;Resto;4310;43100779;Verbo_se;Si;arreglar;Autobenefactivo;NA;Pronombre;Indirecto;3sg;Humano;presente
Exhaustivo;Resto;4102;4102001;Verbo_se;Si;arreglar;Autobenefactivo;NA;SD;Indirecto;1sg;Humano;pasado_perfecto
Exhaustivo;Resto;1607;1607747;Verbo_se;No;arreglar;Autobenefactivo;NA;NA;Indirecto;1pl;Humano;presente_perfecto
Exhaustivo;Resto;4310;43101017;Verbo_se;No;arreglar;Autobenefactivo;NA;NA;Indirecto;1sg;Humano;presente_perfecto
Exhaustivo;Noroeste;588;588194;Verbo_se;No;arreglar;Autobenefactivo;NA;NA;Indirecto;2sg;Humano;pasado_imperfecto
Exhaustivo;Resto;1907;1907284;Verbo_se;Si;asar;Autobenefactivo;NA;Pronombre;Indirecto;3pl;Humano;pasado_imperfecto
No_exhaustivo;Resto;1401;1401099;Verbo_se;Si;atar;Movimiento_prenda;Locativo;NA;Indirecto;1pl;Humano;pasado_imperfecto
No_exhaustivo;Resto;4214;4214149;Verbo_se;No;atemperar?;Movimiento;OD;NA;Indirecto;1sg;Humano;pasado_perfecto
No_exhaustivo;Resto;4117;4117378;Verbo_se;Si;bordar;Autobenefactivo;NA;Desnudo;Indirecto;1sg;Humano;pluscuamperfecto
Exhaustivo;Resto;3222;3222107;Verbo_se;Si;bordar;Autobenefactivo;NA;Pronombre;Indirecto;1sg;Humano;pasado_imperfecto
No_exhaustivo;Resto;4117;4117241;Verbo_se;Si;bordar;Autobenefactivo;NA;SD;Indirecto;2sg;Humano;pasado_imperfecto
No_exhaustivo;Resto;4128;4128250;Verbo_se;Si;bordar;Autobenefactivo;NA;SD;Indirecto;2sg;Humano;infinitivo
No_exhaustivo;Resto;1417;1417309;Verbo_se;Si;bordar;Autobenefactivo;NA;SD;Indirecto;3sg;Humano;presente_perfecto
Exhaustivo;Resto;4310;43100489;Verbo_se;Si;bordar;Autobenefactivo;NA;SD;Indirecto;3sg;Humano;pasado_perfecto
Exhaustivo;Resto;2614;2614388;Verbo_se;No;buscar;Autobenefactivo;NA;Claus;Indirecto;3sg;Humano;futuro
No_exhaustivo;Resto;959;959332;Verbo_se;Si;buscar;Autobenefactivo;NA;Desnudo;Indirecto;2sg;Humano;presente
Exhaustivo;Resto;3001;30010470;Verbo_se;No;buscar;Autobenefactivo;NA;Desnudo;Indirecto;2sg;Humano;presente
Exhaustivo;Resto;1907;1907136;Verbo_se;No;buscar;Autobenefactivo;NA;Desnudo;Indirecto;1pl;Humano;infinitivo
Exhaustivo;Resto;1307;13070179;Verbo_se;No;buscar;Autobenefactivo;NA;Desnudo;Indirecto;1pl;Humano;pasado_imperfecto
Exhaustivo;Resto;922;922450;Verbo_se;Si;buscar;Autobenefactivo;NA;Desnudo;Indirecto;2sg;Humano;infinitivo
Exhaustivo;Resto;2229;2229523;Verbo_se;Si;buscar;Autobenefactivo;NA;Desnudo;Indirecto;2sg;Humano;infinitivo
