CuestionarioID,EjemploID,Video,Verbo_en_el_cuestionario,Reflexivo,Verbo
QT003,43,13,Caer_la_pelota_de_la_silla,No,caer
QT008,1974,13,Caer_la_pelota_de_la_silla,No,caer
QT010,2844,13,Caer_la_pelota_de_la_silla,No,caer
QT011,3216,13,Caer_la_pelota_de_la_silla,No,caer
QT017,4850,13,Caer_la_pelota_de_la_silla,Si,caer
QT019,5916,13,Caer_la_pelota_de_la_silla,No,caer
QT022,7403,13,Caer_la_pelota_de_la_silla,No,caer
QT023,7866,13,Caer_la_pelota_de_la_silla,No,caer
QT024,8325,13,Caer_la_pelota_de_la_silla,No,caer
QT028,9722,13,Caer_la_pelota_de_la_silla,No,caer
QT046,15136,13,Caer_la_pelota_de_la_silla,No,caer
QT042,15768,13,Caer_la_pelota_de_la_silla,No,caer
QT025,16514,13,Caer_la_pelota_de_la_silla,No,caer
QT040,18838,13,Caer_la_pelota_de_la_silla,No,caer
QT006,1086,13,Caer_la_pelota_de_la_silla,Si,caer
QT014,3907,13,Caer_la_pelota_de_la_silla,Si,caer
QT016,4405,13,Caer_la_pelota_de_la_silla,Si,caer
QT017,4851,13,Caer_la_pelota_de_la_silla,No,caer
QT019,5917,13,Caer_la_pelota_de_la_silla,Si,caer
QT020,6379,13,Caer_la_pelota_de_la_silla,Si,caer
QT034,11709,13,Caer_la_pelota_de_la_silla,Si,caer
QT036,12213,14,Caersele_un_libro,Si,caer
QT037,12740,13,Caer_la_pelota_de_la_silla,Si,caer
QT041,13794,13,Caer_la_pelota_de_la_silla,Si,caer
QT043,16160,13,Caer_la_pelota_de_la_silla,Si,caer
QT001,16785,13,Caer_la_pelota_de_la_silla,Si,caer
QT013,18188,13,Caer_la_pelota_de_la_silla,Si,caer
QT012,19215,13,Caer_la_pelota_de_la_silla,Si,caer
QT015,19547,13,Caer_la_pelota_de_la_silla,Si,caer
QT008,1982,14,Caersele_un_libro,No,caer
QT009,2472,14,Caersele_un_libro,No,caer
QT010,2846,14,Caersele_un_libro,No,caer
QT021,6794,14,Caersele_un_libro,No,caer
QT022,7405,14,Caersele_un_libro,No,caer
QT022,7406,14,Caersele_un_libro,No,caer
QT023,7868,14,Caersele_un_libro,No,caer
QT044,14222,14,Caersele_un_libro,No,caer
QT046,15137,14,Caersele_un_libro,No,caer
QT025,16517,14,Caersele_un_libro,No,caer
QT003,44,14,Caersele_un_libro,Si,caer
QT004,547,14,Caersele_un_libro,Si,caer
QT004,548,14,Caersele_un_libro,Si,caer
QT006,1088,14,Caersele_un_libro,Si,caer
QT014,3909,14,Caersele_un_libro,Si,caer
QT017,4853,14,Caersele_un_libro,Si,caer
QT019,5919,14,Caersele_un_libro,Si,caer
QT026,8757,14,Caersele_un_libro,Si,caer
QT028,9725,14,Caersele_un_libro,Si,caer
QT030,10156,14,Caersele_un_libro,Si,caer
QT030,10157,14,Caersele_un_libro,Si,caer
QT032,10635,14,Caersele_un_libro,Si,caer
QT032,10636,14,Caersele_un_libro,Si,caer
QT032,10638,14,Caersele_un_libro,Si,caer
QT033,11252,14,Caersele_un_libro,Si,caer
QT034,11712,14,Caersele_un_libro,Si,caer
QT036,12215,14,Caersele_un_libro,Si,caer
QT037,12743,14,Caersele_un_libro,Si,caer
QT041,13798,14,Caersele_un_libro,Si,caer
QT047,15490,14,Caersele_un_libro,Si,caer
QT047,15491,14,Caersele_un_libro,Si,caer
QT042,15769,14,Caersele_un_libro,Si,caer
QT043,16162,14,Caersele_un_libro,Si,caer
QT002,17500,14,Caersele_un_libro,Si,caer
QT040,18841,14,Caersele_un_libro,Si,caer
QT012,19217,14,Caersele_un_libro,Si,caer
QT010,2852,17,Caerse_de_la_silla,No,caer
QT011,3228,17,Caerse_de_la_silla,No,caer
QT011,3229,17,Caerse_de_la_silla,No,caer
QT017,4864,17,Caerse_de_la_silla,No,caer
QT022,7415,17,Caerse_de_la_silla,No,caer
QT023,7876,17,Caerse_de_la_silla,No,caer
QT038,13417,17,Caerse_de_la_silla,No,caer
QT002,17538,17,Caerse_de_la_silla,No,caer
QT012,19222,17,Caerse_de_la_silla,No,caer
QT007,1521,17,Caerse_de_la_silla,Si,caer
QT016,4413,17,Caerse_de_la_silla,Si,caer
QT019,5924,17,Caerse_de_la_silla,Si,caer
QT026,8761,17,Caerse_de_la_silla,Si,caer
QT028,9733,17,Caerse_de_la_silla,Si,caer
QT030,10167,17,Caerse_de_la_silla,Si,caer
QT030,10168,17,Caerse_de_la_silla,Si,caer
QT032,10644,17,Caerse_de_la_silla,Si,caer
QT034,11718,17,Caerse_de_la_silla,Si,caer
QT034,11719,17,Caerse_de_la_silla,Si,caer
QT036,12227,17,Caerse_de_la_silla,Si,caer
QT036,12228,17,Caerse_de_la_silla,Si,caer
QT037,12750,17,Caerse_de_la_silla,Si,caer
QT037,12751,17,Caerse_de_la_silla,Si,caer
QT037,12752,17,Caerse_de_la_silla,Si,caer
QT041,13804,17,Caerse_de_la_silla,Si,caer
QT013,18206,17,Caerse_de_la_silla,Si,caer
QT013,18207,17,Caerse_de_la_silla,Si,caer
QT013,18208,17,Caerse_de_la_silla,Si,caer
QT039,18498,17,Caerse_de_la_silla,Si,caer
QT022,7472,41,Caer_agua_del_tejado,No,caer
QT003,97,41,Caer_agua_del_tejado,No,caer
QT004,605,41,Caer_agua_del_tejado,No,caer
QT006,1144,41,Caer_agua_del_tejado,No,caer
QT006,1145,41,Caer_agua_del_tejado,No,caer
QT007,1585,41,Caer_agua_del_tejado,No,caer
QT007,1586,41,Caer_agua_del_tejado,No,caer
QT008,2065,41,Caer_agua_del_tejado,No,caer
QT008,2066,41,Caer_agua_del_tejado,No,caer
QT009,2525,41,Caer_agua_del_tejado,No,caer
QT010,2888,41,Caer_agua_del_tejado,No,caer
QT010,2889,41,Caer_agua_del_tejado,No,caer
QT017,4917,41,Caer_agua_del_tejado,No,caer
QT018,5445,41,Caer_agua_del_tejado,No,caer
QT018,5447,41,Caer_agua_del_tejado,No,caer
QT018,5448,41,Caer_agua_del_tejado,No,caer
QT019,5952,41,Caer_agua_del_tejado,No,caer
QT021,6833,41,Caer_agua_del_tejado,No,caer
QT022,7471,41,Caer_agua_del_tejado,No,caer
QT023,7919,41,Caer_agua_del_tejado,No,caer
QT023,7920,41,Caer_agua_del_tejado,No,caer
QT023,7921,41,Caer_agua_del_tejado,No,caer
QT024,8371,41,Caer_agua_del_tejado,No,caer
QT028,9780,41,Caer_agua_del_tejado,No,caer
QT030,10254,41,Caer_agua_del_tejado,No,caer
QT032,10704,41,Caer_agua_del_tejado,No,caer
QT032,10705,41,Caer_agua_del_tejado,No,caer
QT033,11299,41,Caer_agua_del_tejado,No,caer
QT034,11783,41,Caer_agua_del_tejado,No,caer
QT036,12284,41,Caer_agua_del_tejado,No,caer
QT036,12285,41,Caer_agua_del_tejado,No,caer
QT037,12804,41,Caer_agua_del_tejado,No,caer
QT038,13463,41,Caer_agua_del_tejado,No,caer
QT041,13877,41,Caer_agua_del_tejado,No,caer
QT046,15177,41,Caer_agua_del_tejado,No,caer
QT043,16204,41,Caer_agua_del_tejado,No,caer
QT013,18270,41,Caer_agua_del_tejado,No,caer
QT040,18876,41,Caer_agua_del_tejado,No,caer
QT012,19257,41,Caer_agua_del_tejado,No,caer
QT015,19591,41,Caer_agua_del_tejado,No,caer
QT015,19592,41,Caer_agua_del_tejado,No,caer
QT026,8812,41,Caer_agua_del_tejado,Si,caer
QT039,18532,41,Caer_agua_del_tejado,Si,caer
QT004,606,42,Caer_hojas_frutos,No,caer
QT007,1587,42,Caer_hojas_frutos,No,caer
QT008,2068,42,Caer_hojas_frutos,No,caer
QT009,2526,42,Caer_hojas_frutos,No,caer
QT011,3282,42,Caer_hojas_frutos,No,caer
QT011,3284,42,Caer_hojas_frutos,No,caer
QT011,3286,42,Caer_hojas_frutos,No,caer
QT021,6834,42,Caer_hojas_frutos,No,caer
QT022,7473,42,Caer_hojas_frutos,No,caer
QT022,7474,42,Caer_hojas_frutos,No,caer
QT023,7922,42,Caer_hojas_frutos,No,caer
QT023,7923,42,Caer_hojas_frutos,No,caer
QT027,9388,42,Caer_hojas_frutos,No,caer
QT038,13464,42,Caer_hojas_frutos,No,caer
QT038,13466,42,Caer_hojas_frutos,No,caer
QT044,14286,42,Caer_hojas_frutos,No,caer
QT045,14710,42,Caer_hojas_frutos,No,caer
QT045,14711,42,Caer_hojas_frutos,No,caer
QT042,15824,42,Caer_hojas_frutos,No,caer
QT003,100,42,Caer_hojas_frutos,Si,caer
QT014,3981,42,Caer_hojas_frutos,Si,caer
QT014,3982,42,Caer_hojas_frutos,Si,caer
QT017,4918,42,Caer_hojas_frutos,No,caer
QT017,4920,42,Caer_hojas_frutos,No,caer
QT018,5449,42,Caer_hojas_frutos,Si,caer
QT026,8815,42,Caer_hojas_frutos,Si,caer
QT028,9781,42,Caer_hojas_frutos,Si,caer
QT032,10706,42,Caer_hojas_frutos,Si,caer
QT037,12805,42,Caer_hojas_frutos,Si,caer
QT045,14706,42,Caer_hojas_frutos,Si,caer
QT042,15825,42,Caer_hojas_frutos,Si,caer
QT043,16205,42,Caer_hojas_frutos,Si,caer
QT001,16923,42,Caer_hojas_frutos,Si,caer
QT001,16924,42,Caer_hojas_frutos,Si,caer
QT001,16925,42,Caer_hojas_frutos,Si,caer
QT002,17645,42,Caer_hojas_frutos,Si,caer
QT002,17647,42,Caer_hojas_frutos,Si,caer
QT002,17648,42,Caer_hojas_frutos,Si,caer
QT002,17651,42,Caer_hojas_frutos,Si,caer
QT013,18272,42,Caer_hojas_frutos,Si,caer
