CuestionarioID,EjemploID,Video,Verbo_en_el_cuestionario,Reflexivo,Verbo
QT007,1868,202,Encontrarse,No,encontrar
QT008,2434,202,Encontrarse,No,encontrar
QT010,3149,202,Encontrarse,No,encontrar
QT010,3150,202,Encontrarse,No,atopar
QT010,3151,202,Encontrarse,No,encontrar
QT011,3820,202,Encontrarse,No,encontrar
QT017,5209,202,Encontrarse,No,encontrar
QT019,6254,202,Encontrarse,No,encontrar
QT020,6729,202,Encontrarse,No,atopar
QT020,6730,202,Encontrarse,No,encontrar
QT020,6731,202,Encontrarse,No,atopar
QT020,6732,202,Encontrarse,No,atopar
QT020,6733,202,Encontrarse,No,atopar
QT022,7801,202,Encontrarse,No,encontrar
QT022,7802,202,Encontrarse,No,encontrar
QT023,8257,202,Encontrarse,No,encontrar
QT024,8706,202,Encontrarse,No,atopar
QT027,9616,202,Encontrarse,No,encontrar
QT036,12666,202,Encontrarse,No,encontrar
QT036,12668,202,Encontrarse,No,encontrar
QT037,13150,202,Encontrarse,No,encontrar
QT044,14590,202,Encontrarse,No,encontrar
QT045,14980,202,Encontrarse,No,encontrar
QT045,14981,202,Encontrarse,No,encontrar
QT046,15422,202,Encontrarse,No,topar
QT006,1421,202,Encontrarse,Si,encontrar
QT014,4333,202,Encontrarse,Si,encontrar
QT016,4774,202,Encontrarse,Si,encontrar
QT018,5780,202,Encontrarse,Si,encontrar
QT021,7336,202,Encontrarse,Si,topar
QT026,9155,202,Encontrarse,Si,encontrar
QT030,10538,202,Encontrarse,Si,encontrar
QT032,11112,202,Encontrarse,Si,encontrar
QT033,11639,202,Encontrarse,Si,encontrar
QT038,13730,202,Encontrarse,Si,encontrar
QT041,14145,202,Encontrarse,Si,encontrar
QT041,14146,202,Encontrarse,Si,encontrar
QT042,16102,202,Encontrarse,Si,encontrar
QT002,18099,202,Encontrarse,Si,encontrar
QT039,18782,202,Encontrarse,Si,encontrar
QT039,18783,202,Encontrarse,Si,encontrar
QT040,19156,202,Encontrarse,Si,encontrar
QT012,19494,202,Encontrarse,Si,encontrar
QT015,19872,202,Encontrarse,Si,encontrar
QT003,474,203,Encontrar,No,encontrar
QT004,1017,203,Encontrar,No,encontrar
QT006,1423,203,Encontrar,No,encontrar
QT007,1870,203,Encontrar,No,encontrar
QT009,2799,203,Encontrar,No,encontrar
QT010,3152,203,Encontrar,No,encontrar
QT011,3826,203,Encontrar,No,encontrar
QT011,3829,203,Encontrar,No,encontrar
QT011,3830,203,Encontrar,No,encontrar
QT014,4336,203,Encontrar,No,encontrar
QT016,4778,203,Encontrar,No,encontrar
QT017,5213,203,Encontrar,No,encontrar
QT018,5782,203,Encontrar,No,encontrar
QT018,5784,203,Encontrar,No,encontrar
QT019,6256,203,Encontrar,No,encontrar
QT020,6735,203,Encontrar,No,encontrar
QT020,6736,203,Encontrar,No,encontrar
QT021,7338,203,Encontrar,No,atopar
QT023,8262,203,Encontrar,No,encontrar
QT026,9160,203,Encontrar,No,encontrar
QT026,9161,203,Encontrar,No,encontrar
QT028,10055,203,Encontrar,No,encontrar
QT030,10540,203,Encontrar,No,encontrar
QT032,11115,203,Encontrar,No,encontrar
QT032,11116,203,Encontrar,No,encontrar
QT033,11641,203,Encontrar,No,encontrar
QT037,13153,203,Encontrar,No,encontrar
QT041,14150,203,Encontrar,No,encontrar
QT044,14595,203,Encontrar,No,encontrar
QT045,14985,203,Encontrar,No,topar
QT046,15427,203,Encontrar,No,topar
QT042,16105,203,Encontrar,No,encontrar
QT043,16468,203,Encontrar,No,encontrar
QT039,18785,203,Encontrar,No,encontrar
QT040,19158,203,Encontrar,No,encontrar
QT012,19497,203,Encontrar,No,encontrar
QT015,19873,203,Encontrar,No,encontrar
