Muestreo,Area_dialecta,COSERID,EjemploID,Ejemplo,Tipo,Pron_reflexivo,Verbo,Sdo_tipic_refl,Tipo_semantico,Tipo_sintactico,Compl_direccion,Anim_CD,Aspectualidades,Tipo_dativo,Presencia_del_dativo,Persona_verbal,Animacion_sujeto,Random
Exhaustivo,Resto,211,211073,"Y llevárselas la mujer, lavarlas bien lavadas y freírlas. ",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Absoluto,Inanimado,Pronombre,NA,NA,3sg,Humano,Si
Exhaustivo,Resto,211,211108,"el último día les hacen un convite, una, una comida. Se los llevan o al bar o en las casa ",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Cprep a,Humano,Pronombre,NA,NA,3pl,Humano,Si
Exhaustivo,Resto,211,211256,"Bailes pos la que podía pos, a lo mejor cuatro músicos que hubiera por aquí, pos se los llevaban y movían el baile y ya estaba.",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Absoluto,Humano,Pronombre,NA,NA,3pl,Humano,Si
Exhaustivo,Resto,404,404566,"[en la vendimia] Porque te-, lo tenías lleno entonces venían, lo cogían y se lo llevaban.",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Absoluto,Inanimado,Pronombre,NA,NA,3pl,Humano,Si
Exhaustivo,Resto,404,404783,"Y cuando digo: ""Uy, estos zapatillos tan bonicos me los llevo yo a mi casa."" ",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Cprep a,Inanimado,Pronombre,NA,NA,1sg,Humano,Si
Exhaustivo,Resto,922,922370,"[ropa para lavar] Y coger por el carro y llevárselo para allá, ",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Cprep para,Inanimado,Pronombre,NA,NA,NA,Humano,Si
Exhaustivo,Resto,1020,1020036,"Y una pala pa, pa cuando hacía aire que se llevara la, la paja y [A-Inn] el grano.",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Absoluto,Inanimado,SD,NA,NA,3sg,Inanimado,Si
Exhaustivo,Resto,1020,1020182,"De Hinojal se llevaron a matarle ahí unos cuantos y  por aquí vino y pidieron agua y no se la dieron... (0=V)amos, no sé, de eso recuerdo.",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Cprep de,Humano,Nulo,NA,NA,3pl,Humano,Si
Exhaustivo,Resto,1107,1107181,"""Ustedes son muy generosos"" y nos quitaban los garbanzos y se los llevaban, ",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Absoluto,Inanimado,Pronombre,NA,NA,3pl,Humano,Si
Exhaustivo,Resto,1107,1107184,"Llegaban a veces, tú, y tú te hacías el pan y tú no podías moler el trigo, no podías, porque todo se lo llevaban ellos. ",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Absoluto,Inanimado,Pronombre,NA,NA,3pl,Humano,Si
Exhaustivo,Resto,1107,1107343,"almuerzan, cenan, se llevan carne, la asan allí ",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Absoluto,Inanimado,Desnudo,NA,NA,3pl,Humano,Si
Exhaustivo,Resto,1107,1107344,pero lo que se llevan más que nada es cerveza ,Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Absoluto,Inanimado,SD,NA,NA,3pl,Humano,Si
Exhaustivo,Resto,1107,1107353,"Se lleva siempre uno para que lo ayude a cargar, descargar. ",Verbo se,Sí,llevar,NA,Movimiento,Transitivo,Absoluto,Humano,SD,NA,NA,3sg,Humano,Si
