ID	Verbo	Valencia
4363	arrimar	Ambigua
43488	abrir	Absoluto
23586	abrir	Absoluto
3660	abrir	Absoluto
39978	acabar	Absoluto
6114	acabar	Absoluto
79435	acabar	Absoluto
84346	acabar	Absoluto
71130	acabar	Absoluto
71669	acabar	Absoluto
92579	acabar	Absoluto
7693	acabar	Absoluto
900	acabar	Absoluto
94205	acabar	Absoluto
11199	acostumbrar	Absoluto
89	arrimar	Absoluto
20594	calentar	Absoluto
13498	calentar	Absoluto
29272	calentar	Absoluto
14715	calentar	Absoluto
29021	calentar	Absoluto
18230	calentar	Absoluto
13731	calentar	Absoluto
91741	cortar	Absoluto
48833	cortar	Absoluto
89574	cortar	Absoluto
16327	cortar	Absoluto
3154	cortar	Absoluto
57178	cortar	Absoluto
68139	cortar	Absoluto
15333	criar	Absoluto
9661	criar	Absoluto
15643	criar	Absoluto
14820	criar	Absoluto
10623	criar	Absoluto
5254	criar	Absoluto
9741	criar	Absoluto
275	criar	Absoluto
18101	criar	Absoluto
14415	criar	Absoluto
29529	curar	Absoluto
28756	curar	Absoluto
197	curar	Absoluto
445	curar	Absoluto
15953	curar	Absoluto
15813	curar	Absoluto
11021	curar	Absoluto
34098	curar	Absoluto
14406	curar	Absoluto
38550	curar	Absoluto
16139	curar	Absoluto
11138	curar	Absoluto
14606	curar	Absoluto
21010	curar	Absoluto
66036	dar	Absoluto
3080	dar	Absoluto
10984	dar	Absoluto
12856	defender	Absoluto
89119	defender	Absoluto
86853	defender	Absoluto
56268	defender	Absoluto
27689	deshacer	Absoluto
11804	deshacer	Absoluto
12385	deshacer	Absoluto
19754	deshacer	Absoluto
16269	deshacer	Absoluto
5066	deshacer	Absoluto
4838	deshacer	Absoluto
3486	deshacer	Absoluto
2696	deshacer	Absoluto
22807	deshacer	Absoluto
531	emborrachar	Absoluto
185	emborrachar	Absoluto
1777	emborrachar	Absoluto
63643	empezar	Absoluto
24764	empezar	Absoluto
57848	empezar	Absoluto
